"id","follower_id","followee_id","follower_handle","followee_handle"
1,1,983,"@bonnie1","@jo983"
2,1,209,"@bonnie1","@claire209"
3,2,750,"@wilfredo2","@rollin750"
4,2,1000,"@wilfredo2","@ahmed1000"
5,2,574,"@wilfredo2","@sydni574"
6,2,334,"@wilfredo2","@shannon334"
7,2,464,"@wilfredo2","@nathaniel464"
8,2,530,"@wilfredo2","@gilberto530"
9,3,813,"@dan3","@austin813"
10,4,26,"@payton4","@lucio26"
11,4,65,"@payton4","@geovany65"
12,5,266,"@idella5","@arielle266"
13,5,993,"@idella5","@leonie993"
14,6,722,"@sabina6","@cletus722"
15,6,571,"@sabina6","@richard571"
16,6,927,"@sabina6","@justine927"
17,6,945,"@sabina6","@miguel945"
18,6,416,"@sabina6","@judge416"
19,6,131,"@sabina6","@kali131"
20,6,295,"@sabina6","@wilber295"
21,6,740,"@sabina6","@marcus740"
22,8,301,"@johnnie8","@nia301"
23,8,795,"@johnnie8","@dahlia795"
24,8,208,"@johnnie8","@audreanne208"
25,8,178,"@johnnie8","@easton178"
26,8,674,"@johnnie8","@beaulah674"
27,8,966,"@johnnie8","@ryder966"
28,8,799,"@johnnie8","@kareem799"
29,9,398,"@randi9","@tyrell398"
30,9,219,"@randi9","@ignacio219"
31,9,720,"@randi9","@susan720"
32,9,548,"@randi9","@liana548"
33,9,918,"@randi9","@dayne918"
34,9,236,"@randi9","@francis236"
35,10,791,"@bryon10","@tom791"
36,10,789,"@bryon10","@darrel789"
37,10,664,"@bryon10","@augustine664"
38,10,209,"@bryon10","@claire209"
39,10,476,"@bryon10","@major476"
40,10,505,"@bryon10","@abdul505"
41,10,385,"@bryon10","@reggie385"
42,11,284,"@marcella11","@alana284"
43,11,975,"@marcella11","@cleora975"
44,11,98,"@marcella11","@theresia98"
45,11,150,"@marcella11","@felton150"
46,11,604,"@marcella11","@irving604"
47,13,591,"@keaton13","@floyd591"
48,13,25,"@keaton13","@vita25"
49,13,31,"@keaton13","@antone31"
50,13,708,"@keaton13","@charity708"
51,13,519,"@keaton13","@margret519"
52,13,587,"@keaton13","@faustino587"
53,13,961,"@keaton13","@rasheed961"
54,13,269,"@keaton13","@lucious269"
55,13,19,"@keaton13","@titus19"
56,13,911,"@keaton13","@helena911"
57,14,66,"@verda14","@lambert66"
58,14,1000,"@verda14","@ahmed1000"
59,14,278,"@verda14","@osborne278"
60,14,886,"@verda14","@makayla886"
61,14,787,"@verda14","@abraham787"
62,14,947,"@verda14","@karina947"
63,14,924,"@verda14","@philip924"
64,15,811,"@dee15","@sallie811"
65,15,431,"@dee15","@gavin431"
66,15,437,"@dee15","@brice437"
67,15,32,"@dee15","@lane32"
68,15,512,"@dee15","@sid512"
69,16,166,"@joaquin16","@ardith166"
70,16,764,"@joaquin16","@pinkie764"
71,16,284,"@joaquin16","@alana284"
72,16,632,"@joaquin16","@easter632"
73,16,45,"@joaquin16","@era45"
74,16,578,"@joaquin16","@alessia578"
75,16,334,"@joaquin16","@shannon334"
76,17,611,"@shemar17","@joey611"
77,17,377,"@shemar17","@raegan377"
78,17,569,"@shemar17","@stephon569"
79,17,70,"@shemar17","@ross70"
80,17,123,"@shemar17","@justina123"
81,17,794,"@shemar17","@emilio794"
82,17,419,"@shemar17","@janae419"
83,17,83,"@shemar17","@friedrich83"
84,17,990,"@shemar17","@everette990"
85,17,42,"@shemar17","@jacques42"
86,18,839,"@jayson18","@deontae839"
87,19,369,"@titus19","@deven369"
88,19,144,"@titus19","@retha144"
89,19,63,"@titus19","@jerad63"
90,19,379,"@titus19","@tara379"
91,19,400,"@titus19","@delta400"
92,19,420,"@titus19","@cristopher420"
93,19,85,"@titus19","@josefa85"
94,19,166,"@titus19","@ardith166"
95,19,581,"@titus19","@kole581"
96,19,332,"@titus19","@d'angelo332"
97,20,934,"@dejah20","@hazel934"
98,20,808,"@dejah20","@monte808"
99,20,521,"@dejah20","@rosario521"
100,20,654,"@dejah20","@frederik654"
101,20,468,"@dejah20","@amani468"
102,20,982,"@dejah20","@rae982"
103,20,433,"@dejah20","@kaelyn433"
104,21,309,"@baron21","@daphne309"
105,21,287,"@baron21","@river287"
106,22,842,"@gillian22","@dena842"
107,22,897,"@gillian22","@armani897"
108,22,222,"@gillian22","@otis222"
109,22,628,"@gillian22","@lavern628"
110,22,76,"@gillian22","@martin76"
111,23,624,"@maye23","@dylan624"
112,23,416,"@maye23","@judge416"
113,23,259,"@maye23","@arely259"
114,23,145,"@maye23","@makenna145"
115,23,353,"@maye23","@bobby353"
116,23,479,"@maye23","@elisa479"
117,23,186,"@maye23","@margarett186"
118,23,471,"@maye23","@cordie471"
119,23,295,"@maye23","@wilber295"
120,23,845,"@maye23","@laurence845"
121,24,181,"@margot24","@bettie181"
122,24,197,"@margot24","@devon197"
123,24,713,"@margot24","@cecil713"
124,26,573,"@lucio26","@weldon573"
125,27,700,"@seth27","@dedrick700"
126,27,878,"@seth27","@destiny878"
127,27,584,"@seth27","@karolann584"
128,27,662,"@seth27","@german662"
129,27,995,"@seth27","@jan995"
130,27,276,"@seth27","@mona276"
131,27,137,"@seth27","@sherwood137"
132,27,487,"@seth27","@charley487"
133,27,957,"@seth27","@angus957"
134,27,150,"@seth27","@felton150"
135,28,550,"@kathryn28","@telly550"
136,28,105,"@kathryn28","@nikko105"
137,28,549,"@kathryn28","@jonathan549"
138,28,398,"@kathryn28","@tyrell398"
139,28,696,"@kathryn28","@hadley696"
140,28,869,"@kathryn28","@mariela869"
141,28,813,"@kathryn28","@austin813"
142,28,511,"@kathryn28","@mercedes511"
143,29,416,"@jedediah29","@judge416"
144,30,617,"@janet30","@delaney617"
145,30,130,"@janet30","@cale130"
146,30,109,"@janet30","@ewell109"
147,30,703,"@janet30","@sedrick703"
148,30,909,"@janet30","@colten909"
149,30,285,"@janet30","@vincenza285"
150,32,655,"@lane32","@ned655"
151,32,650,"@lane32","@sydnie650"
152,32,145,"@lane32","@makenna145"
